member_id,content_detail_id,score,similarity,final_score
32,1048,1.9467912e-05,0.92201406,0.3688173
33,298,2.6672778e-05,0.99354005,0.39743203
33,381,2.201666e-05,0.9743895,0.38976902
33,11,2.1918971e-05,0.9605313,0.38422567
34,858,0.00076647976,0.9873548,0.3954018
34,1063,0.00076337124,0.97312486,0.38970798
34,1291,0.0010082604,0.9416608,0.3772693
35,254,2.4055604e-05,0.9705153,0.38822055
35,9,2.4590992e-05,0.9591894,0.38369054
35,293,2.8657254e-05,0.9520275,0.3808282
36,73,1.9467912e-05,0.95812964,0.38326356
36,1107,1.9467912e-05,0.94925976,0.3797156
36,1216,3.0957657e-05,0.9470711,0.378847
37,936,1.5301499e-05,0.93759376,0.3750467
37,1135,1.4134501e-05,0.93097156,0.37239712
37,1129,1.4085051e-05,0.9289134,0.37157384
38,254,3.363956e-05,0.9705153,0.3882263
38,9,3.642094e-05,0.9591894,0.38369763
38,293,4.672267e-05,0.9520275,0.38083905
39,822,9.0919886e-05,0.9770896,0.3908904
39,491,5.0226085e-05,0.9562761,0.38254058
39,346,8.2258586e-05,0.9457135,0.37833476
40,1284,1.4398562e-05,0.9825594,0.3930324
40,1153,1.4085051e-05,0.94326437,0.3773142
40,1105,1.6012134e-05,0.9414446,0.37658742
41,866,0.0006847183,0.9837131,0.39389607
41,841,0.0010380009,0.96879405,0.38814044
41,677,0.0008680848,0.96023756,0.3846159
42,202,4.9965918e-05,1.0,0.40003
42,189,4.4716795e-05,1.0,0.40002683
42,1198,4.4716795e-05,0.9457937,0.3783443
43,852,3.074119e-05,0.96015114,0.38407892
43,798,2.4894456e-05,0.9266493,0.37067464
43,786,3.074119e-05,0.92254704,0.36903727
44,906,1.321158e-05,0.96711487,0.38685387
44,849,1.3458398e-05,0.96603847,0.38642347
44,538,1.4302408e-05,0.9590968,0.3836473
45,73,1.2050755e-05,0.95812964,0.38325912
45,1107,1.2050755e-05,0.94925976,0.37971115
45,1216,1.4174349e-05,0.9470711,0.37883693
46,202,4.6779736e-05,1.0,0.40002808
46,188,4.6779736e-05,1.0,0.40002808
46,1198,4.878967e-05,0.9457937,0.37834674
47,534,4.181425e-05,0.96002054,0.38403332
47,660,3.642094e-05,0.9486394,0.37947762
47,904,3.363956e-05,0.9464102,0.37858427
48,294,4.7694288e-05,0.9522869,0.3809434
48,8,3.730986e-05,0.95135725,0.3805653
48,1309,4.0394694e-05,0.9461458,0.37848255
49,365,3.1683554e-05,0.9649108,0.38598335
49,679,2.340627e-05,0.9598394,0.38394982
49,788,2.340627e-05,0.95935553,0.38375625
50,465,1.3394276e-05,0.9987137,0.39949352
50,505,1.321158e-05,0.97800076,0.39120823
50,1183,1.3165384e-05,0.97242206,0.38897672
51,157,7.8110366e-05,1.0,0.40004689
51,160,8.437278e-05,1.0,0.40005064
51,925,5.9957183e-05,0.977097,0.39087477
52,95,2.6672778e-05,0.97634816,0.39055526
52,1250,2.3064262e-05,0.97260004,0.38905385
52,947,2.1918971e-05,0.95830953,0.38333696
